JAN,在庫数,薬品名,棚番
4987123000116,40,オメプラゾール腸溶錠２０ｍｇ「武田テバ」(PTP1錠),茶
4987901043502,80,オランザピンＯＤ錠２．５ｍｇ「ＶＴＲＳ」(PTP1錠),茶劇
4987211115159,0,オリブ油（丸石）(ﾊﾞﾗ1mL),""
4987886003171,5,オルガドロン点眼・点耳・点鼻液０．１％(本5mL),下点眼
4987057616605,45,オルケディア錠１ｍｇ(PTP1錠),茶劇
4987792295585,25,オルテクサー口腔用軟膏０．１％(ﾁｭｰﾌﾞ5ｇ),外用下
4987428418203,0,オルミエント錠２ｍｇ(PTP1錠),不動在庫
4987171251102,79,オルメサルタン錠５ｍｇ「ケミファ」(PTP1錠),下
4987060307927,309,オルメサルタン錠１０ｍｇ「杏林」(PTP1錠),茶
4987060307965,336,オルメサルタン錠２０ｍｇ「杏林」(PTP1錠),茶
4987081103119,82,オルメテックＯＤ錠１０ｍｇ(PTP1錠),茶
4987081103157,249,オルメテックＯＤ錠２０ｍｇ(PTP1錠),茶
4987060304889,158,オロパタジン塩酸塩錠５ｍｇ「杏林」(PTP1錠),茶
4987123405591,28,オロパタジン塩酸塩ＯＤ錠２．５ｍｇ「テバ」(PTP1錠),""
4987155121131,37,オロパタジン塩酸塩顆粒０．５％「トーワ」(分包0.5ｇ),散剤引出し
4987447499016,65,オロパタジン点眼液０．１％「日新」(本5mL),点眼
4987057592701,180,オングリザ錠２．５ｍｇ(PTP1錠),下
4987057592770,266,オングリザ錠５ｍｇ(PTP1錠),茶､PTP/バラ
4987039481351,14,オンジェンティス錠２５ｍｇ(PTP1錠),下劇
4987051136123,10,ガスコン錠４０ｍｇ(PTP1錠),茶
4987919100389,156,ガスターＤ錠２０ｍｇ(PTP1錠),茶､PTP/バラ
4987128087839,339,ガストローム顆粒６６．７％(ｽﾃｨｯｸ包1.5ｇ),ぶんぽうたな
4987116212212,303,ガスモチン錠５ｍｇ(PTP1錠),茶､PTP/バラ
4987173016600,435,ガスロンＮ・ＯＤ錠２ｍｇ(PTP1錠),茶
4987173017805,45,ガスロンＮ・ＯＤ錠４ｍｇ(PTP1錠),下袋
4987123149570,15,ガチフロ点眼液０．３％(本5mL),下点眼
4987123412261,216,カデチア配合錠ＨＤ「テバ」(PTP1錠),下
4987777000012,0,カデックス軟膏０．９％(ﾁｭｰﾌﾞ40ｇ),""
4987777000036,0,カデックス軟膏０．９％(ﾊﾞﾗ1ｇ),""
4987901001007,42,カデュエット配合錠３番(PTP1錠),下劇袋
4987128191116,150,カナグル錠１００ｍｇ(PTP1錠),下
4987081105816,246,カナリア配合錠(PTP1錠),下
4987431190479,67,ガバペン錠２００ｍｇ(PTP1錠),下
4987424682912,126,カペシタビン錠３００ｍｇ「ヤクルト」(PTP1錠),抗癌剤１
4987190085603,239,カムシア配合錠ＨＤ「ニプロ」(PTP1錠),茶劇
4987614416006,125,カムシア配合錠ＬＤ「サンド」(PTP1錠),下劇
4987123406666,268,カモスタットメシル酸塩錠１００ｍｇ「テバ」(PTP1錠),茶
4987058115077,0,ガランタミンＯＤ錠８ｍｇ「アメル」(PTP1錠),下劇
4987080127178,56,ガランタミンＯＤ錠１２ｍｇ「サワイ」(PTP1錠),下劇
4987770511706,440,カリメート経口液２０％　２５ｇ(分包10包),分包棚４
4987080102915,113,カルシトリオールカプセル０．２５μｇ「サワイ」(PTP1Ｃ),下劇
4987080103318,74,カルシトリオールカプセル０．５μｇ「サワイ」(PTP1Ｃ),下劇
4987901048002,118,カルタンＯＤ錠５００ｍｇ(PTP1錠),茶
4987243318603,12.5,カルテオロール塩酸塩ＬＡ点眼液２％「わかもと」(本2.5mL),""
4987376408714,0,カルテオロール塩酸塩錠５ｍｇ「日医工」(PTP1錠),""
4987901002400,94,カルデナリン錠１ｍｇ(PTP1錠),茶､PTP
4987901002509,293,カルデナリン錠１ｍｇ(ﾊﾞﾗ1錠),カセット
4987901002806,244,カルデナリン錠４ｍｇ(PTP1錠),茶
4987086150668,300,カルナクリン錠２５　２５単位(PTP1錠),下
4987086151238,327,カルナクリン錠５０　５０単位(PTP1錠),茶
4987123000758,602,カルバゾクロムスルホン酸Ｎａ錠３０ｍｇ「あすか」(PTP1錠),茶
4987081120000,178.5,カルブロック錠８ｍｇ(PTP1錠),茶
4987081120048,146,カルブロック錠１６ｍｇ(PTP1錠),茶
4987080679011,154,カルベジロール錠１．２５ｍｇ「サワイ」(PTP1錠),下
4987080680017,518.5,カルベジロール錠２．５ｍｇ「サワイ」(PTP1錠),茶
4987080781011,310,カルベジロール錠１０ｍｇ「サワイ」(PTP1錠),茶
4987080782018,78,カルベジロール錠２０ｍｇ「サワイ」(PTP1錠),下
4987155244151,661,カルボシステイン錠２５０ｍｇ「トーワ」(PTP1錠),茶､PTP/ﾊﾞﾗ
4987155029086,387,カルボシステイン錠５００ｍｇ「トーワ」(PTP1錠),茶
4987120223709,0,カルボシステインシロップ５％「タカタ」(ﾊﾞﾗ1mL),""
4987120223808,219.66,カルボシステインＤＳ５０％「タカタ」(ﾊﾞﾗ1ｇ),散剤
4987896050615,0,カロナールシロップ２％(ﾊﾞﾗ1mL),""
4987896030525,0.4,カロナール細粒２０％(ﾊﾞﾗ1ｇ),散剤劇
4987896010817,1763,カロナール錠２００　２００ｍｇ(PTP1錠),茶
4987896010978,471,カロナール錠５００　５００ｍｇ(PTP1錠),茶劇
4987896010879,706,カロナール錠３００　３００ｍｇ(PTP1錠),茶
4987080004912,237.5,カンデサルタン錠２ｍｇ「サワイ」(PTP1錠),茶
4987080005117,401,カンデサルタン錠４ｍｇ「サワイ」(PTP1錠),茶､PTP/バラ
4987124046113,253,カンデサルタン錠８ｍｇ「ＴＣＫ」(PTP1錠),下
4987901003506,2.5,キサラタン点眼液０．００５％(本2.5mL),冷蔵庫
4987060007148,191,キプレス錠１０ｍｇ(PTP1錠),茶
4987274132681,0,ギャバロン錠５ｍｇ(PTP1錠),下劇
4987123159036,134,キャブピリン配合錠(PTP1錠),茶
4987376540315,96,球形吸着炭細粒分包２ｇ「日医工」(分包2ｇ),ク漢方棚
4987060007360,0,キョーリンＡＰ２配合顆粒(ﾊﾞﾗ1ｇ),""
4987246728065,5,キンダベート軟膏０．０５％(ﾁｭｰﾌﾞ5ｇ),下
4987080223115,0,クアゼパム錠２０ｍｇ「サワイ」(PTP1錠),向下
4987699050027,274,グーフィス錠５ｍｇ(PTP1錠),茶
4987222620161,366.5,クエチアピン錠２５ｍｇ「明治」(PTP1錠),茶劇
4987058194034,79,クエチアピン錠５０ｍｇ「アメル」(PTP1錠),下劇
4987222620932,174,クエチアピン錠１００ｍｇ「明治」(PTP1錠),下劇
4987058196038,3,クエチアピン錠２００ｍｇ「アメル」(PTP1錠),下劇
4987440442019,110,クエンメット配合錠(PTP1錠),茶
4987039449207,172,グラクティブ錠２５ｍｇ(PTP1錠),茶
4987039469731,115,グラクティブ錠５０ｍｇ(PTP1錠),茶､PTP/バラ
4987028269601,111,グラケーカプセル１５ｍｇ(PTP1Ｃ),茶
4987045630194,126,クラシエ黄連解毒湯エキス細粒(ｽﾃｨｯｸ包2ｇ),""
4987045650208,0,クラシエ黄連解毒湯エキス細粒(ｽﾃｨｯｸ包3ｇ),""
4987045680182,0,クラシエ黄連解毒湯エキス細粒(ﾊﾞﾗ1ｇ),""
4987045630279,-126,クラシエ乙字湯エキス細粒(ｽﾃｨｯｸ包2ｇ),クラシエ３
4987045630750,182.5,クラシエ葛根湯エキス細粒(ｽﾃｨｯｸ包2.5ｇ),クラシエ１
4987045630996,242,クラシエ加味逍遙散料エキス細粒(ｽﾃｨｯｸ包2ｇ),クラシエ２４
4987045651243,315,クラシエ桂枝加苓朮附湯エキス細粒(ｽﾃｨｯｸ包3.75ｇ),不動漢方１８
4987045670237,36,クラシエ桂枝茯苓丸料エキス錠(分包1錠),不動漢方､２５
4987045651403,0,クラシエ桂枝茯苓丸料エキス細粒(ｽﾃｨｯｸ包3ｇ),ふれあい､25
4987045670275,36,クラシエ五苓散料エキス錠(分包1錠),不動漢方､17
4987045631634,364,クラシエ五苓散料エキス細粒(ｽﾃｨｯｸ包2ｇ),クラシエ､17
4987045670312,252,クラシエ柴胡加竜骨牡蛎湯エキス錠(分包1錠),""
4987045642074,823.5,クラシエ柴苓湯エキス細粒(ｽﾃｨｯｸ包2.7ｇ),クラシエ､117
4987045632990,838,クラシエ芍薬甘草湯エキス細粒(ｽﾃｨｯｸ包2ｇ),クラシエ､68
4987045643019,262.5,クラシエ十全大補湯エキス細粒(ｽﾃｨｯｸ包2.5ｇ),クラシエ､48
4987045632839,184,クラシエ小青竜湯エキス細粒(ｽﾃｨｯｸ包2ｇ),クラシエ､19
4987045676130,0,クラシエ辛夷清肺湯エキス細粒(ｽﾃｨｯｸ包3.75ｇ),不動漢方､110
4987045633959,18,クラシエ大柴胡湯エキス細粒(ｽﾃｨｯｸ包2ｇ),クラシエ､8
4987045634031,0,クラシエ猪苓湯エキス細粒(ｽﾃｨｯｸ包2ｇ),クラシエ､40
4987045677052,97.5,クラシエ当帰四逆加呉茱萸生姜湯エキス細粒(ｽﾃｨｯｸ包3.75ｇ),クラシエ､38
4987045634277,52.5,クラシエ人参養栄湯エキス細粒(ｽﾃｨｯｸ包2.5ｇ),クラシエ､108
4987045670794,0,クラシエ八味地黄丸料エキス錠(分包1錠),不動漢方､7
4987045634758,56,クラシエ八味地黄丸料エキス細粒(ｽﾃｨｯｸ包2ｇ),クラシエ､7
4987045654763,420,クラシエ八味地黄丸料エキス細粒(ｽﾃｨｯｸ包3ｇ),""
4987045634833,94,クラシエ半夏厚朴湯エキス細粒(ｽﾃｨｯｸ包2ｇ),クラシエ､16
4987045655005,60,クラシエ防風通聖散料エキス細粒(ｽﾃｨｯｸ包3.75ｇ),不動漢方､62
4987045634994,170,クラシエ防風通聖散料エキス細粒(ｽﾃｨｯｸ包2.5ｇ),クラシエ､68
4987045635076,250,クラシエ補中益気湯エキス細粒(ｽﾃｨｯｸ包2.5ｇ),クラシエ､41
4987045655562,60,クラシエよく苡仁湯エキス細粒(ｽﾃｨｯｸ包3ｇ),不動漢方､52
4987045635632,690,クラシエ六君子湯エキス細粒(ｽﾃｨｯｸ包2ｇ),クラシエ､43
4987045655807,168,クラシエ六味丸料エキス細粒(ｽﾃｨｯｸ包3ｇ),""
4987233102618,8,グラセプターカプセル１ｍｇ(PTP1Ｃ),茶劇
4987770514301,55,グラナテック点眼液０．４％(本5mL),茶点眼
4987246743068,0,クラバモックス小児用配合ドライシロップ　６３６．５ｍｇ(分包0.505ｇ),""
4987246743075,0,クラバモックス小児用配合ドライシロップ　６３６．５ｍｇ(分包1.01ｇ),""
4987246743051,0,クラバモックス小児用配合ドライシロップ　６３６．５ｍｇ(ﾊﾞﾗ1ｇ),""
4987081127511,72.5,クラビット細粒１０％　１００ｍｇ（レボフロキサシンとして）(分包2.5ｇ),散剤引出し､袋
4987081127757,60,クラビット錠５００ｍｇ　（レボフロキサシンとして）(PTP1錠),茶
4987084114419,0,クラビット点眼液０．５％(本5mL),""
4987084114525,20,クラビット点眼液１．５％(本5mL),下点眼
4987376245609,18,グラマリール錠２５ｍｇ(PTP1錠),下
4987306017443,130,クラリス錠５０小児用　５０ｍｇ(PTP1錠),下
4987306017221,87,クラリス錠２００　２００ｍｇ(PTP1錠),茶
4987440667016,261,クラリスロマイシン錠２００ｍｇ「ＮＰＩ」(PTP1錠),茶
4987120614200,100,クラリスロマイシンＤＳ小児用１０％「タカタ」　１００ｍｇ(ﾊﾞﾗ1ｇ),散剤棚
4987341110604,150,クラリチンレディタブ錠１０ｍｇ(ﾌﾞﾘｽﾀｰ1錠),茶
4987224045009,357,グランダキシン錠５０　５０ｍｇ(PTP1錠),茶
4987128005031,244,クリアナール錠２００ｍｇ(PTP1錠),下
4987080031116,460.5,グリクラジド錠２０ｍｇ「サワイ」(PTP1錠),茶劇
4987286216935,4,グリセリン浣腸液５０％「ケンエー」　３０ｍＬ(個1個),階段下
4987286216966,3,グリセリン浣腸液５０％「ケンエー」　４０ｍＬ(個1個),階段下
4987286216942,2,グリセリン浣腸液５０％「ケンエー」　５０ｍＬ(個1個),階段下
4987286216973,19,グリセリン浣腸液５０％「ケンエー」　６０ｍＬ(個1個),階段下
4987286216997,21,グリセリン浣腸液５０％「ケンエー」　１２０ｍＬ(個1個),階段下
4987116545525,233,グリミクロンＨＡ錠２０ｍｇ(PTP1錠),茶劇､PTP/バラ
4987081140213,20,グリメサゾン軟膏(ﾁｭｰﾌﾞ5ｇ),外用下
4987123155304,278,グリメピリド錠０．５ｍｇ「ＡＡ」(PTP1錠),茶劇
4987123152372,480,グリメピリド錠１ｍｇ「ＡＡ」(PTP1錠),茶劇
4987047116283,346.5,グルコンサンＫ細粒４ｍＥｑ／ｇ　カリウム(ﾊﾞﾗ1ｇ),""
4987051182328,30,グルファスト錠１０ｍｇ(PTP1錠),下
4987051187125,927,グルベス配合ＯＤ錠(PTP1錠),茶
4987081127016,142,グレースビット錠５０ｍｇ(PTP1錠),下
4987087041682,381,クレストールＯＤ錠２．５ｍｇ(PTP1錠),茶､PTP/バラ
4987087041736,93,クレストールＯＤ錠５ｍｇ(PTP1錠),茶
4987087031126,148,クレストール錠２．５ｍｇ(PTP1錠),下
4987042136026,24.96,クレナフィン爪外用液１０％(本3.56ｇ),外用下､3.56g/本
4987120103308,11,クレマスチン錠１ｍｇ「タカタ」(PTP1錠),下
4987128316236,237,クレメジンカプセル２００ｍｇ(PTP1Ｃ),ク漢方棚
4987124150018,0,クロピドグレル錠２５ｍｇ「ＴＣＫ」(PTP1錠),下
4987080405115,274,クロピドグレル錠７５ｍｇ「サワイ」(PTP1錠),茶
4987020020606,0,クロベタゾン酪酸エステル軟膏０．０５％「イワキ」(ﾁｭｰﾌﾞ5ｇ),外用下
4987274128912,2,クロマイ腟錠１００ｍｇ(SP1錠),外用下袋
4987274128936,50,クロマイ－Ｐ軟膏(ﾁｭｰﾌﾞ25ｇ),外用下
4987028200109,227,ケアラム錠２５ｍｇ(PTP1錠),茶劇
4987158108245,1811.58,ケイキサレートドライシロップ７６％(分包3.27ｇ),分包棚４
4987128104567,150,ゲーベンクリーム１％(ﾊﾞﾗ1ｇ),軟膏棚４､100g
4987086533461,98,ケトプロフェンテープ２０ｍｇ「三和」　７ｃｍ×１０ｃｍ(枚7枚),湿布棚３
4987086533539,182,ケトプロフェンテープ４０ｍｇ「三和」　１０ｃｍ×１４ｃｍ(枚7枚),湿布棚３
4987058633038,90,ケフラールカプセル２５０ｍｇ(PTP1Ｃ),下
4987058181034,19,ケフレックスカプセル２５０ｍｇ(PTP1Ｃ),下袋
4987770507709,250,ケラチナミンコーワクリーム２０％(ﾁｭｰﾌﾞ25ｇ),外用下
4987120263002,60,ゲンタシン軟膏０．１％　１ｍｇ(ﾁｭｰﾌﾞ10ｇ),外用茶
4987114210609,0,コートリル錠１０ｍｇ(PTP1錠),茶
4987084218018,70,コソプト配合点眼液(本5mL),茶点眼
4987301068433,44,コタロー香蘇散エキス細粒(分包2ｇ),不動漢方､70
4987301302193,0,コタロー麻黄附子細辛湯エキスカプセル(PTP1Ｃ),""
4987301206439,243,コタロー竜胆瀉肝湯エキス細粒(分包3ｇ),""
4987301206606,0,コタロー竜胆瀉肝湯エキス細粒(ﾊﾞﾗ1ｇ),""
4987443330030,121,コディオ配合錠ＥＸ(PTP1錠),茶
4987123148559,21.2,コデインリン酸塩散１％「タケダ」(ﾊﾞﾗ1ｇ),散剤棚劇
4987123155236,119,コデインリン酸塩錠２０ｍｇ「タケダ」(PTP1錠),""
4987057251059,137,コニール錠２　２ｍｇ(PTP1錠),茶劇
4987057251097,87,コニール錠４　４ｍｇ(PTP1錠),茶劇
4987120394409,560,コルヒチン錠０．５ｍｇ「タカタ」(PTP1錠),茶劇､PTPﾊﾞﾗ
4987158328506,10,コレクチム軟膏０．５％(ﾁｭｰﾌﾞ5ｇ),外用下
4987128615131,96,コレバイン錠５００ｍｇ(PTP1錠),下
4987233139676,108.6,コロネル細粒８３．３％(分包0.6ｇ),分包棚４
4987233139461,64,コロネル錠５００ｍｇ(PTP1錠),茶
4987672830127,95,コンサータ錠１８ｍｇ(PTP1錠),向1-30
4987672830141,104,コンサータ錠２７ｍｇ(PTP1錠),向1-30
4987123110228,101,コンスタン０．４ｍｇ錠(PTP1錠),茶向30
4987128004751,19,コントミン糖衣錠５０ｍｇ(PTP1錠),下劇
4987128132478,20,コンベック軟膏５％(ﾁｭｰﾌﾞ10ｇ),外用下､10g
4987028221005,120,ザーネ軟膏０．５％　５０００単位(ﾊﾞﾗ1ｇ),軟膏棚
4987246758017,98,ザイザル錠５ｍｇ(PTP1錠),茶
4987672183124,28,ザイティガ錠２５０ｍｇ(PTP1錠),抗癌剤１
4987114178305,31,サイトテック錠２００　２００μｇ(PTP1錠),下劇
4987246704137,7,ザイロリック錠１００　１００ｍｇ(PTP1錠),茶
4987428954022,216,サインバルタカプセル２０ｍｇ(PTP1Ｃ),茶劇､PTP／バラ
4987428954305,1,サインバルタカプセル３０ｍｇ(PTP1Ｃ),下劇
4987123154246,63,ザクラス配合錠ＨＤ(PTP1錠),茶劇
4987047211018,199,ザジテンカプセル１ｍｇ(PTP1Ｃ),下
4987443374591,4,ザジテン点眼液０．０５％　３．４５ｍｇ５ｍＬ(瓶1瓶),下点眼
4987047211094,1,ザジテン点鼻液０．０５％　６．０４８ｍｇ８ｍＬ(瓶1瓶),点鼻
4987316129914,405,サトウザルベ軟膏１０％(ﾊﾞﾗ1ｇ),軟膏棚２
4987123155281,11,ザファテック錠１００ｍｇ(患者用PK1錠),下
4987035378518,0,サムスカＯＤ錠７．５ｍｇ(PTP1錠),茶劇
4987123418225,587,サラゾスルファピリジン腸溶錠５００ｍｇ「武田テバ」(PTP1錠),茶
4987288945253,435,５％サリチル酸ワセリン軟膏東豊(ﾊﾞﾗ1ｇ),軟膏棚､バラ
4987429000889,380,１０％サリチル酸ワセリン軟膏東豊(ﾊﾞﾗ1ｇ),軟膏棚､バラ
4987173018536,90,ザルティア錠５ｍｇ(PTP1錠),茶
4987080302513,56,ザルトプロフェン錠８０ｍｇ「サワイ」(PTP1錠),下劇
4987614294017,326,サルポグレラート塩酸塩錠１００ｍｇ「サンド」(PTP1錠),下
4987288540250,0,酸化亜鉛「ヨシダ」(ﾊﾞﾗ1ｇ),散剤棚２
4987286113470,1147,酸化マグネシウム錠２５０ｍｇ「ケンエー」(PTP1錠),茶､PTP
4987286113494,252,酸化マグネシウム錠２５０ｍｇ「ケンエー」(ﾊﾞﾗ1錠),バラ
4987286113500,1861,酸化マグネシウム錠３３０ｍｇ「ケンエー」(PTP1錠),茶､PTP
4987286113524,1360,酸化マグネシウム錠３３０ｍｇ「ケンエー」(ﾊﾞﾗ1錠),カセット､ﾊﾞﾗ
4987286113531,693,酸化マグネシウム錠５００ｍｇ「ケンエー」(PTP1錠),茶
4987288439578,145.232,酸化マグネシウム細粒８３％「ヨシダ」(ﾊﾞﾗ1ｇ),""
4987084120366,25,サンコバ点眼液０．０２％　５ｍＬ(瓶1瓶),茶点眼
4987084121233,21,サンテゾーン０．０５％眼軟膏(ﾁｭｰﾌﾞ3.5ｇ),外用茶
4987084123053,60,サンベタゾン眼耳鼻科用液０．１％(本5mL),茶点眼
4987081655687,37,サンリズムカプセル２５ｍｇ(PTP1Ｃ),不動在庫
4987081656127,265,サンリズムカプセル５０ｍｇ(PTP1Ｃ),下劇
4987123001328,33,シアノコバラミン点眼液０．０２％「センジュ」　５ｍＬ(瓶1瓶),茶点眼
4987901003704,69,ジェイゾロフト錠２５ｍｇ(PTP1錠),下劇
4987233001553,36,ジェニナック錠２００ｍｇ(PTP1錠),下袋
4987224057309,220,ジエノゲスト錠１ｍｇ「モチダ」(PTP1錠),下
4987123158565,70,ジオクチルソジウムスルホサクシネート耳科用液５％「ＣＥＯ」(本10mL),外用下
4987084170101,46,ジクアス点眼液３％　５ｍＬ(瓶1瓶),茶点眼
4987084316912,8,ジクアスＬＸ点眼液３％　５ｍＬ(瓶1瓶),新規
4987188488027,74,ジクトルテープ７５ｍｇ(枚7枚),湿布棚３
4987136104481,547,シグマート錠５ｍｇ(PTP1錠),茶､PTP
4987136162108,601,シグマート錠５ｍｇ(ﾊﾞﾗ1錠),カセット､バラ
4987080113911,86,シクロスポリンカプセル２５ｍｇ「ＴＣ」(PTP1Ｃ),茶劇
4987123417693,0,ジクロフェナクＮａ坐剤５０ｍｇ「武田テバ」(組5個),""
4987190742810,0,ジクロフェナクナトリウムテープ３０ｍｇ「ＮＰ」　１０×１４ｃｍ(枚7枚),湿布棚3
4987155028133,8,ジクロフェナクＮａ徐放カプセル３７．５ｍｇ「トーワ」(PTP1Ｃ),下劇
4987142741618,263,ジゴキシン錠０．０６２５「ＫＹＯ」　０．０６２５ｍｇ(PTP1錠),茶劇
4987114124203,4,ジスロマック錠２５０ｍｇ(患者用PK1錠),不動在庫
4987158290445,10,シダキュアスギ花粉舌下錠５０００ＪＡＵ(ﾌﾞﾘｽﾀｰ1錠),""
4987087034936,455,シナール配合錠(PTP1錠),下
4987087034967,72,シナール配合顆粒(分包1ｇ),分包棚5-4
4987792294304,178,ジピリダモール錠２５ｍｇ「ＪＧ」(PTP1錠),下
4987020020996,57.5,ジフルプレドナート軟膏０．０５％「イワキ」(ﾁｭｰﾌﾞ5ｇ),外用下
4987142411115,157,シベノール錠１００ｍｇ(PTP1錠),茶劇
4987080686118,168,シベンゾリンコハク酸塩錠５０ｍｇ「サワイ」(PTP1錠),下劇
4987650688108,12,シムビコートタービュヘイラー６０吸入(ｷｯﾄ1ｷｯﾄ),下吸入
4987792101039,253,ジメチコン錠４０ｍｇ「ＹＤ」(PTP1錠),""
4987376313315,12,シメチジン錠４００ｍｇ「日医工」(PTP1錠),下
4987413300612,260,ジャディアンス錠１０ｍｇ(PTP1錠),茶
4987413300513,133,ジャディアンス錠２５ｍｇ(PTP1錠),下
4987185807555,201,ジャヌビア錠２５ｍｇ(PTP1錠),茶
4987185809900,310,ジャヌビア錠５０ｍｇ(PTP1錠),茶
4987185807623,50,ジャヌビア錠１００ｍｇ(PTP1錠),下
4987116530071,126,シュアポスト錠０．５ｍｇ(PTP1錠),下劇
4987288432258,500.2,重カマ「ヨシダ」(ﾊﾞﾗ1ｇ),散剤棚
4987476167207,19,シルデナフィル錠５０ｍｇVI「YD」(PTP1錠),不動在庫
4987080103110,179,シルニジピン錠５ｍｇ「サワイ」(PTP1錠),下
4987080106012,344,シルニジピン錠１０ｍｇ「サワイ」(PTP1錠),茶
4987155153187,256,ジルムロ配合錠ＨＤ「トーワ」(PTP1錠),下劇
4987792362713,190,シロスタゾールＯＤ錠１００ｍｇ「ＪＧ」(PTP1錠),茶
4987171782101,473,シロスタゾールＯＤ錠５０ｍｇ「ケミファ」(PTP1錠),茶､PTP/ﾊﾞﾗ
4987081187836,515,シロドシンＯＤ錠４ｍｇ「ＤＳＥＰ」(PTP1錠),茶劇
4987954807175,7,シングレア錠１０ｍｇ(PTP1錠),下袋
4987288800033,0,親水クリーム「ヨシダ」(ﾊﾞﾗ1ｇ),""
4987476156409,0,シンバスタチン錠５ｍｇ「ＹＤ」(PTP1錠),""
4987047211100,72,シンメトレル錠５０ｍｇ(PTP1錠),下
4987086202244,166,スイニー錠１００ｍｇ(PTP1錠),茶
4987087042573,95,スインプロイク錠０．２ｍｇ(PTP1錠),下
4987233102878,78,スーグラ錠５０ｍｇ(PTP1錠),茶
4987233105343,221,スージャヌ配合錠(PTP1錠),茶
4987123001564,3000,スクラルファート内用液１０％「ＮＩＧ」(分包10mL),""
4987123410403,0,スクラルファート内用液１０％「タイヨー」(分包10mL),分包棚5-5
4987233029557,12,スターシス錠９０ｍｇ(PTP1錠),茶
4987443355507,47,スタレボ配合錠Ｌ５０(PTP1錠),茶
4987443355545,52,スタレボ配合錠Ｌ１００(PTP1錠),下
4987387591429,360,スチックゼノールＡ(本40ｇ),抗癌剤の隣
4987341110208,42,スチバーガ錠４０ｍｇ(PTP1錠),抗癌剤､返品予定箱
4987039444820,293,ステーブラＯＤ錠０．１ｍｇ(PTP1錠),茶
4987709200213,743,ストミンＡ配合錠(PTP1錠),茶
4987028208396,110,ストロカイン錠５ｍｇ(PTP1錠),茶
4987167005481,5,スピール膏Ｍ　２５ｃｍ２(枚1枚),外用下
4987413836029,3,スピオルトレスピマット６０吸入(ｷｯﾄ1ｷｯﾄ),下吸入
4987020015855,0,スピラゾン軟膏０．３％(ﾁｭｰﾌﾞ5ｇ),""
4987413826334,4,スピリーバ２．５μｇレスピマット６０吸入　１５０μｇ(ｷｯﾄ1ｷｯﾄ),下吸入
4987124045819,93,スピロノラクトン錠２５ｍｇ「ＴＣＫ」(PTP1錠),茶､PTP／バラ
4987650108606,92,スプレンジール錠５ｍｇ(PTP1錠),下劇
4987120216008,19,スマトリプタン錠５０ｍｇ「タカタ」(PTP1錠),下劇
4987080000112,58,スルピリド錠５０ｍｇ「サワイ」(PTP1錠),下
4987211133238,852,精製水（日興製薬）(ﾊﾞﾗ1mL),外用水剤下
4987086160339,270,セイブル錠５０ｍｇ(PTP1錠),茶
4987086160636,43,セイブルＯＤ錠７５ｍｇ(PTP1錠),茶
4987186101546,3,生理食塩液「ヒカリ」　５００ｍＬ(瓶1瓶),階段下
4987387597728,0,ゼスタッククリーム(ﾁｭｰﾌﾞ25ｇ),不動在庫
4987153065864,6,ゼスラン小児用細粒０．６％(ﾊﾞﾗ1ｇ),""
4987954710802,264,ゼチーア錠１０ｍｇ(PTP1錠),茶
4987080690115,111,セチリジン塩酸塩錠１０ｍｇ「サワイ」(PTP1錠),下
4987213109507,0,ゼビアックスローション２％(本10ｇ),""
4987173017713,333,セファドール錠２５ｍｇ(PTP1錠),下
4987280292201,252,セファランチン錠１ｍｇ(PTP1錠),下
4987080541318,89,セフカペンピボキシル塩酸塩錠１００ｍｇ「ＳＷ」(PTP1錠),茶
4987080158042,18.2,セフジニル細粒小児用１０％「サワイ」　１００ｍｇ(ﾊﾞﾗ1ｇ),散剤引出し､バラ
4987919100785,58,セフゾンカプセル１００ｍｇ(PTP1Ｃ),茶
4987158309550,10,ゼフナート外用液２％(本10mL),外用下袋
4987158309512,110,ゼフナートクリーム２％(ﾁｭｰﾌﾞ10ｇ),外用茶
4987770512604,10,ゼペリン点眼液０．１％　５ｍｇ５ｍＬ(瓶1瓶),下点眼
4987901006101,116,セララ錠２５ｍｇ(PTP1錠),下
4987901006200,154,セララ錠５０ｍｇ(PTP1錠),下
4987123407090,44.5,セリプロロール塩酸塩錠１００ｍｇ「テバ」(PTP1錠),茶劇
4987123106634,28,５ｍｇセルシン錠(PTP1錠),茶向90
4987123017435,69.9,セルシン散１％(ﾊﾞﾗ1ｇ),散剤引出し､向精神
4987123106610,234,２ｍｇセルシン錠(PTP1錠),茶向90､PTP／バラ
4987136100124,42,セルセプトカプセル２５０　２５０ｍｇ(PTP1Ｃ),茶劇
4987641070462,7,セルタッチテープ７０　１０ｃｍ×１４ｃｍ(枚7枚),湿布棚３
4987641067806,84,セルタッチパップ７０　１０ｃｍ×１４ｃｍ(枚7枚),湿布棚３､パップ！
4987641066502,147,セルタッチパップ１４０　２０ｃｍ×１４ｃｍ(枚7枚),湿布棚３
4987197360215,72,セルニルトン錠(PTP1錠),茶
4987699058870,113.8,セルベックス細粒１０％(ﾊﾞﾗ1ｇ),散剤引出し､バラ！
4987699058931,491,セルベックスカプセル５０ｍｇ(PTP1Ｃ),茶､PTP/バラ
4987128026319,145,セレキノン錠１００ｍｇ(PTP1錠),茶
4987173000371,92,セレクトール錠１００ｍｇ(PTP1錠),茶劇
